airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
EPMI,,Miroslawiec Military Air Base,Mirosławiec,PL,Matched,Poland
EPMM,,Minsk Mazowiecki Military Air Base,,PL,Matched,Poland
EPMO,WMI,Warsaw Modlin Airport,Nowy Dwór Mazowiecki,PL,Matched,Poland
EPOK,,Oksywie Air Base / Gdynia-Kosakowo Airfield,Kosakowo,PL,Matched,Poland
EPPO,POZ,Poznań-Ławica Airport,Poznań,PL,Matched,Poland
EPPW,,Powidz Military Air Base,Powidz,PL,Matched,Poland
EPRA,RDO,Warsaw Radom Airport,Radom,PL,Matched,Poland
EPRZ,RZE,Rzeszów-Jasionka Airport,Jasionka,PL,Matched,Poland
EPSC,SZZ,Solidarity Szczecin–Goleniów Airport,Szczecin(Glewice),PL,Matched,Poland
EPSN,,Swidwin Military Air Base,,PL,Matched,Poland
EPSY,SZY,Olsztyn-Mazury Airport,Szymany,PL,Matched,Poland
EPTM,,Tomaszów Mazowiecki Military Air Base,Nowy Glinnik,PL,Matched,Poland
EPWA,WAW,Warsaw Chopin Airport,Warsaw,PL,Matched,Poland
EPWR,WRO,Copernicus Wrocław Airport,Wrocław,PL,Matched,Poland
EPZG,IEG,Zielona Góra-Babimost Airport,Nowe Kramsko,PL,Matched,Poland
ES-0109,,Folgueroles Airfield,Folgueroles,ES,Matched,Spain
ESCF,,Malmen Air Base,Linköping,SE,Matched,Sweden
ESDF,RNB,Ronneby Airport,Ronneby,SE,Matched,Sweden
ESFR,,Råda Air Base,Råda,SE,Matched,Sweden
ESGG,GOT,Göteborg Landvetter Airport,Göteborg,SE,Matched,Sweden
ESGJ,JKG,Jönköping Airport,Jönköping,SE,Matched,Sweden
ESGP,GSE,Säve Airport,Göteborg,SE,Matched,Sweden
ESGR,KVB,Skövde Airport,Skövde,SE,Matched,Sweden
ESGT,THN,Trollhättan-Vänersborg Airport,Trollhättan,SE,Matched,Sweden
